category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0005488,5.486112684609773e-86,1,984,14904,binding,MF
GO:0003674,2.0813260376389436e-85,1,1068,17267,molecular_function,MF
GO:0005622,8.986948450782954e-80,1,958,14622,intracellular,CC
GO:0044424,6.545969692529529e-79,1,956,14612,intracellular part,CC
GO:0008150,1.8440600362853693e-76,1,1062,17874,biological_process,BP
GO:0005737,1.8816744710632757e-74,1,819,11401,cytoplasm,CC
GO:0044464,1.3071710704109342e-69,1,1023,16770,cell part,CC
GO:0005575,1.3373019736341933e-69,1,1083,18853,cellular_component,CC
GO:0005515,2.0422717022183472e-69,1,818,11611,protein binding,MF
GO:0009987,4.529260448245669e-69,1,995,16356,cellular process,BP
GO:0005623,5.489043493828609e-69,1,1024,16837,cell,CC
GO:0043226,1.142938368951874e-65,1,891,13675,organelle,CC
GO:0044444,3.0925379383104697e-62,1,705,9556,cytoplasmic part,CC
GO:0044446,5.1459957465022975e-61,1,688,9455,intracellular organelle part,CC
GO:0043229,6.717059932006926e-61,1,846,12865,intracellular organelle,CC
GO:0044422,1.5781517689545707e-60,1,702,9755,organelle part,CC
GO:0043227,6.507919421975106e-60,1,834,12663,membrane-bounded organelle,CC
GO:0043231,5.403712517651988e-54,1,753,11174,intracellular membrane-bounded organelle,CC
GO:0065007,2.8451393238737576e-48,1,797,12454,biological regulation,BP
GO:0071840,5.938114775383639e-46,1,511,6533,cellular component organization or biogenesis,BP
GO:0005829,2.0737671053683417e-45,1,423,4979,cytosol,CC
GO:0050789,1.7803286195477773e-44,1,756,11774,regulation of biological process,BP
GO:0016043,1.6448867936785198e-43,1,495,6349,cellular component organization,BP
GO:0031974,1.7415016909323715e-42,1,439,5585,membrane-enclosed lumen,CC
GO:0043233,1.7415016909323715e-42,1,439,5585,organelle lumen,CC
GO:0070013,1.7415016909323715e-42,1,439,5585,intracellular organelle lumen,CC
GO:0044237,1.2959534953668104e-41,1,711,11021,cellular metabolic process,BP
GO:0008152,1.2336091776654477e-40,1,747,12108,metabolic process,BP
GO:0071704,1.9717259906693856e-40,1,726,11652,organic substance metabolic process,BP
GO:0044238,6.683277213350928e-40,1,701,10906,primary metabolic process,BP
GO:0097159,1.9519740133043728e-39,1,471,6183,organic cyclic compound binding,MF
GO:1901363,2.3845317110017772e-39,1,466,6096,heterocyclic compound binding,MF
GO:0005634,1.1450405820602354e-37,1,539,7675,nucleus,CC
GO:0031981,1.3946946858702116e-37,1,362,4441,nuclear lumen,CC
GO:0006807,4.604959565021489e-37,1,670,10430,nitrogen compound metabolic process,BP
GO:0050794,1.1328796000486012e-36,1,695,10751,regulation of cellular process,BP
GO:0043232,1.4051321207395307e-36,1,364,4523,intracellular non-membrane-bounded organelle,CC
GO:0043228,2.244308930744566e-36,1,364,4532,non-membrane-bounded organelle,CC
GO:0044428,2.4421189788589125e-36,1,381,4832,nuclear part,CC
GO:0050896,2.1536739881338483e-35,1,604,8945,response to stimulus,BP
GO:0043170,3.0227120097623676e-33,1,631,10092,macromolecule metabolic process,BP
GO:0044260,5.798596345977335e-31,1,556,8259,cellular macromolecule metabolic process,BP
GO:0051716,6.480080782590664e-31,1,514,7413,cellular response to stimulus,BP
GO:0005654,1.4844252802925486e-30,1,299,3497,nucleoplasm,CC
GO:0003723,6.788572358953465e-30,1,184,1871,RNA binding,MF
GO:0006950,1.3914181849282456e-29,1,320,3946,response to stress,BP
GO:0006996,2.1397000946462635e-29,1,315,3841,organelle organization,BP
GO:0032991,1.202147293313772e-28,1,400,5711,protein-containing complex,CC
GO:0048518,1.3425440251461195e-28,1,436,6062,positive regulation of biological process,BP
GO:1901564,6.914337267770727e-28,1,472,6867,organonitrogen compound metabolic process,BP
GO:0010033,2.4837168435098646e-27,1,275,3250,response to organic substance,BP
GO:0043167,4.853314244885511e-27,1,442,6155,ion binding,MF
GO:0048522,6.644804065321132e-27,1,393,5357,positive regulation of cellular process,BP
GO:0031982,1.4133074314519384e-26,1,304,3803,vesicle,CC
GO:0051179,2.2915808308676613e-26,1,453,6561,localization,BP
GO:0016020,3.286201291948508e-26,1,587,9115,membrane,CC
GO:0051128,5.623264572041213e-26,1,225,2480,regulation of cellular component organization,BP
GO:0034641,7.44921126959458e-26,1,459,6904,cellular nitrogen compound metabolic process,BP
GO:0003676,3.558017716455164e-25,1,319,4222,nucleic acid binding,MF
GO:0019222,4.850703905623593e-25,1,466,7104,regulation of metabolic process,BP
GO:0048519,2.3912703323069647e-24,1,391,5747,negative regulation of biological process,BP
GO:1901360,4.908327097343488e-24,1,439,6595,organic cyclic compound metabolic process,BP
GO:0006139,7.875288633376655e-24,1,416,6167,nucleobase-containing compound metabolic process,BP
GO:0006810,1.81275509818123e-23,1,364,5041,transport,BP
GO:0006725,2.3279170386767176e-23,1,425,6371,cellular aromatic compound metabolic process,BP
GO:0023052,3.153252104756712e-23,1,439,6429,signaling,BP
GO:0019538,4.21194136340415e-23,1,402,5834,protein metabolic process,BP
GO:0007154,7.184945593276872e-23,1,439,6456,cell communication,BP
GO:0032502,7.50636235704482e-23,1,428,6258,developmental process,BP
GO:0043230,1.04940101205441e-22,1,192,2135,extracellular organelle,CC
GO:0051234,1.0623895518691607e-22,1,368,5165,establishment of localization,BP
GO:0010646,1.1744829713323802e-22,1,278,3514,regulation of cell communication,BP
GO:0046483,1.2398257713985048e-22,1,420,6326,heterocycle metabolic process,BP
GO:0048583,1.721322269802548e-22,1,314,4181,regulation of response to stimulus,BP
GO:0023051,4.22123286653782e-22,1,279,3563,regulation of signaling,BP
GO:1903561,4.460308699831867e-22,1,190,2130,extracellular vesicle,CC
GO:0070062,7.412539578877069e-22,1,188,2107,extracellular exosome,CC
GO:0080090,1.0586391756070141e-21,1,415,6097,regulation of primary metabolic process,BP
GO:0044267,1.0987252321635619e-21,1,365,5230,cellular protein metabolic process,BP
GO:0031323,1.3433307379970008e-21,1,421,6228,regulation of cellular metabolic process,BP
GO:0048856,1.3981353186413866e-21,1,402,5844,anatomical structure development,BP
GO:0048523,1.451989433303124e-21,1,344,4831,negative regulation of cellular process,BP
GO:0048731,2.0435749542599448e-21,1,345,4784,system development,BP
GO:0044085,2.3253730850247822e-21,1,258,3274,cellular component biogenesis,BP
GO:0060255,2.7532238478078344e-21,1,426,6593,regulation of macromolecule metabolic process,BP
GO:0090304,6.207327851118743e-21,1,372,5512,nucleic acid metabolic process,BP
GO:0036094,6.247666037901441e-21,1,214,2481,small molecule binding,MF
GO:0000166,7.205052664024588e-21,1,191,2107,nucleotide binding,MF
GO:1901265,7.550665509393734e-21,1,191,2108,nucleoside phosphate binding,MF
