category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0001817,0,1,11,717,regulation of cytokine production,BP
GO:0002252,0,1,19,1162,immune effector process,BP
GO:0002376,0,1,26,2919,immune system process,BP
GO:0002682,0,1,14,1546,regulation of immune system process,BP
GO:0003674,0,1,42,17424,molecular_function,MF
GO:0005488,0,1,41,15078,binding,MF
GO:0005515,0,1,32,11717,protein binding,MF
GO:0005575,0,1,43,19168,cellular_component,CC
GO:0005622,0,1,42,14895,intracellular,CC
GO:0005623,0,1,42,17107,cell,CC
GO:0005634,0,1,26,7809,nucleus,CC
GO:0005737,0,1,38,11561,cytoplasm,CC
GO:0005829,0,1,22,5081,cytosol,CC
GO:0006807,0,1,30,10602,nitrogen compound metabolic process,BP
GO:0006950,0,1,26,3981,response to stress,BP
GO:0006952,0,1,23,1677,defense response,BP
GO:0006955,0,1,24,2009,immune response,BP
GO:0008150,0,1,43,18203,biological_process,BP
GO:0009605,0,1,25,2416,response to external stimulus,BP
GO:0009607,0,1,23,979,response to biotic stimulus,BP
GO:0009615,0,1,20,326,response to virus,BP
GO:0009987,0,1,40,16683,cellular process,BP
GO:0010033,0,1,20,3297,response to organic substance,BP
GO:0016032,0,1,14,829,viral process,BP
GO:0019058,0,1,10,327,viral life cycle,BP
GO:0019079,0,1,9,122,viral genome replication,BP
GO:0019221,0,1,14,795,cytokine-mediated signaling pathway,BP
GO:0034097,0,1,18,1208,response to cytokine,BP
GO:0034340,0,1,11,99,response to type I interferon,BP
GO:0043207,0,1,23,947,response to external biotic stimulus,BP
GO:0043226,0,1,39,13953,organelle,CC
GO:0043227,0,1,36,12857,membrane-bounded organelle,CC
GO:0043229,0,1,37,13133,intracellular organelle,CC
GO:0043231,0,1,34,11360,intracellular membrane-bounded organelle,CC
GO:0043900,0,1,15,404,regulation of multi-organism process,BP
GO:0043901,0,1,8,170,negative regulation of multi-organism process,BP
GO:0043903,0,1,10,221,"regulation of symbiosis, encompassing mutualism through parasitism",BP
GO:0044237,0,1,30,11196,cellular metabolic process,BP
GO:0044238,0,1,30,11076,primary metabolic process,BP
