category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0005575,1.9532807108885043e-68,1,431,19168,cellular_component,CC
GO:0008150,3.285339194761242e-65,1,413,18203,biological_process,BP
GO:0003674,2.9123041141601173e-62,1,404,17424,molecular_function,MF
GO:0050896,3.2354656711151584e-59,1,275,9017,response to stimulus,BP
GO:0005576,8.069592332073539e-56,1,179,4406,extracellular region,CC
GO:0044464,2.2932231102154273e-54,1,383,17038,cell part,CC
GO:0009987,2.7262710753443956e-54,1,373,16683,cellular process,BP
GO:0005623,6.052410421137599e-54,1,383,17107,cell,CC
GO:0005488,4.168973342234781e-53,1,355,15078,binding,MF
GO:0065007,1.788425412428386e-52,1,316,12580,biological regulation,BP
GO:0032501,4.740162781234215e-52,1,241,7718,multicellular organismal process,BP
GO:0050789,5.295017764635274e-50,1,301,11899,regulation of biological process,BP
GO:0023052,4.595658457555656e-47,1,211,6485,signaling,BP
GO:0002376,8.062626863177627e-47,1,137,2919,immune system process,BP
GO:0007166,4.3851073221013995e-45,1,136,2947,cell surface receptor signaling pathway,BP
GO:0007154,4.4907097455430813e-45,1,208,6512,cell communication,BP
GO:0006952,4.667529752716235e-44,1,101,1677,defense response,BP
GO:0051716,2.73059571491318e-43,1,221,7470,cellular response to stimulus,BP
GO:0044421,4.948669841534566e-43,1,143,3604,extracellular region part,CC
GO:0007165,2.3522366977366164e-42,1,194,6021,signal transduction,BP
GO:0006955,4.564069841967187e-42,1,108,2009,immune response,BP
GO:0050794,1.3147477687033962e-41,1,272,10851,regulation of cellular process,BP
GO:0010033,1.3244339622525395e-41,1,138,3297,response to organic substance,BP
GO:0006950,2.0764016785275543e-40,1,150,3981,response to stress,BP
GO:0009605,1.1813007735722094e-39,1,115,2416,response to external stimulus,BP
GO:0005615,1.8832410758121975e-39,1,133,3403,extracellular space,CC
GO:0048518,9.834957781556834e-39,1,189,6135,positive regulation of biological process,BP
GO:0071310,1.9548051010735622e-38,1,120,2704,cellular response to organic substance,BP
GO:0005737,2.0795107615230872e-38,1,276,11561,cytoplasm,CC
GO:0042221,2.5473450260772606e-38,1,163,4765,response to chemical,BP
GO:0070887,5.070061102760798e-38,1,132,3278,cellular response to chemical stimulus,BP
GO:0016020,9.555503242010068e-38,1,240,9170,membrane,CC
GO:0034097,2.4629363089467243e-37,1,80,1208,response to cytokine,BP
GO:0005515,3.1894470584582686e-37,1,276,11717,protein binding,MF
GO:0048856,1.0363285665120292e-36,1,183,5987,anatomical structure development,BP
GO:0044424,6.732418602710245e-36,1,314,14885,intracellular part,CC
GO:0005622,7.68640727287026e-36,1,314,14895,intracellular,CC
GO:0044425,1.0280392173738641e-35,1,196,6705,membrane part,CC
GO:0007275,1.1837454754335698e-35,1,172,5489,multicellular organism development,BP
GO:0048731,1.827373872237379e-35,1,161,4917,system development,BP
GO:0032502,5.204596237581481e-35,1,187,6407,developmental process,BP
GO:0045087,6.957414629826385e-35,1,68,923,innate immune response,BP
GO:0071944,1.5692993198196294e-34,1,172,5456,cell periphery,CC
GO:0051239,3.100396349666615e-34,1,125,3260,regulation of multicellular organismal process,BP
GO:0031224,3.2249595859080153e-34,1,171,5426,intrinsic component of membrane,CC
GO:0005886,4.713752425862904e-34,1,169,5337,plasma membrane,CC
GO:0071345,8.80538564736098e-34,1,73,1114,cellular response to cytokine stimulus,BP
GO:0048583,1.6525218426312287e-33,1,144,4231,regulation of response to stimulus,BP
GO:0044459,4.401633914265685e-33,1,117,2812,plasma membrane part,CC
GO:0019221,5.244730266259245e-33,1,62,795,cytokine-mediated signaling pathway,BP
GO:0051179,3.474503659711768e-32,1,184,6615,localization,BP
GO:0016021,1.3784152499094736e-31,1,163,5261,integral component of membrane,CC
GO:0005102,3.872375913308352e-31,1,82,1547,signaling receptor binding,MF
GO:0048519,2.67412712033904e-30,1,162,5843,negative regulation of biological process,BP
GO:0051704,4.3852900094947256e-30,1,104,2562,multi-organism process,BP
GO:0051707,6.473538014198353e-30,1,63,945,response to other organism,BP
GO:0043207,7.258383160454074e-30,1,63,947,response to external biotic stimulus,BP
GO:0048869,2.7940308701997673e-29,1,141,4427,cellular developmental process,BP
GO:0030154,5.115065636064974e-29,1,137,4234,cell differentiation,BP
GO:0009607,5.235945068470659e-29,1,63,979,response to biotic stimulus,BP
GO:0043227,1.1471149675850998e-28,1,268,12857,membrane-bounded organelle,CC
GO:0048522,9.43060604019589e-28,1,155,5417,positive regulation of cellular process,BP
GO:0051234,1.0464662577259512e-27,1,151,5199,establishment of localization,BP
GO:0044444,2.0196402587754603e-27,1,223,9707,cytoplasmic part,CC
GO:0006810,2.423768983217523e-27,1,148,5072,transport,BP
GO:0002682,5.148289636681773e-27,1,76,1546,regulation of immune system process,BP
GO:0043226,5.580639870383454e-27,1,279,13953,organelle,CC
GO:0048584,1.1232460673358547e-26,1,95,2388,positive regulation of response to stimulus,BP
GO:1901564,2.2321180434403246e-26,1,176,6915,organonitrogen compound metabolic process,BP
GO:0002252,3.342605709814396e-26,1,65,1162,immune effector process,BP
GO:0065008,6.952892023171585e-26,1,127,4054,regulation of biological quality,BP
GO:0023051,9.104942268184879e-26,1,118,3596,regulation of signaling,BP
GO:0043167,6.909053169204493e-25,1,164,6182,ion binding,MF
GO:0048523,1.6068943147432595e-24,1,138,4892,negative regulation of cellular process,BP
GO:0051240,2.329565062608916e-24,1,78,1809,positive regulation of multicellular organismal process,BP
GO:0031982,3.779410833247922e-24,1,119,3851,vesicle,CC
GO:0010646,3.8828389608783195e-24,1,114,3548,regulation of cell communication,BP
GO:0044238,1.2181168973643167e-23,1,229,11076,primary metabolic process,BP
GO:0071704,1.4240847309707897e-23,1,236,11860,organic substance metabolic process,BP
GO:0008152,4.672915729252393e-23,1,241,12321,metabolic process,BP
GO:0051241,6.442312144792601e-23,1,63,1317,negative regulation of multicellular organismal process,BP
GO:0032879,8.565793962828876e-23,1,97,2853,regulation of localization,BP
GO:0009653,1.9133108047282013e-22,1,95,2737,anatomical structure morphogenesis,BP
GO:0006807,4.0330380911430054e-22,1,218,10602,nitrogen compound metabolic process,BP
GO:0048513,5.312158234006205e-22,1,111,3584,animal organ development,BP
GO:0042127,5.341125496610194e-22,1,71,1698,regulation of cell proliferation,BP
GO:0009966,1.0335426122698332e-21,1,102,3176,regulation of signal transduction,BP
GO:0012505,2.0423991788928317e-21,1,125,4437,endomembrane system,CC
GO:0043229,2.7323867468994063e-21,1,252,13133,intracellular organelle,CC
GO:0034341,2.747436286878822e-21,1,27,195,response to interferon-gamma,BP
GO:0002684,2.861541096140805e-21,1,56,1073,positive regulation of immune system process,BP
GO:0019538,3.146285858146783e-21,1,147,5864,protein metabolic process,BP
GO:0008283,3.223320253262754e-21,1,77,2023,cell proliferation,BP
GO:0046903,4.135882228100416e-21,1,70,1658,secretion,BP
GO:0042592,7.958704403048868e-21,1,75,1917,homeostatic process,BP
GO:0002697,1.0476231875167475e-20,1,35,397,regulation of immune effector process,BP
GO:0051049,1.1056156352841595e-20,1,74,1879,regulation of transport,BP
GO:0035556,1.1155220893711845e-20,1,96,2958,intracellular signal transduction,BP
