category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0008150,4.14445836596821e-32,1,135,18203,biological_process,BP
GO:0005575,7.512339502682714e-32,1,138,19168,cellular_component,CC
GO:0044464,1.5138771479413433e-30,1,129,17038,cell part,CC
GO:0005623,2.3049623993111337e-30,1,129,17107,cell,CC
GO:0005737,1.0209559600192056e-29,1,106,11561,cytoplasm,CC
GO:0044424,3.0838582609784655e-29,1,119,14885,intracellular part,CC
GO:0005622,3.2905385868391414e-29,1,119,14895,intracellular,CC
GO:0009987,9.260173296735414e-29,1,125,16683,cellular process,BP
GO:0044444,1.2032326819153145e-28,1,96,9707,cytoplasmic part,CC
GO:0043227,5.390311852083865e-28,1,109,12857,membrane-bounded organelle,CC
GO:0043226,1.2725500596571363e-27,1,113,13953,organelle,CC
GO:0043229,1.7474716960904164e-26,1,108,13133,intracellular organelle,CC
GO:0003674,5.910242942030346e-26,1,124,17424,molecular_function,MF
GO:0043231,1.5709489787955572e-25,1,99,11360,intracellular membrane-bounded organelle,CC
GO:0050789,2.877636949120845e-25,1,101,11899,regulation of biological process,BP
GO:0065007,5.4295032443115385e-24,1,102,12580,biological regulation,BP
GO:0050794,6.727955499945268e-23,1,93,10851,regulation of cellular process,BP
GO:0045087,7.803631388025262e-23,1,31,923,innate immune response,BP
GO:0050896,1.5025160457755328e-22,1,84,9017,response to stimulus,BP
GO:0006952,6.19898787395717e-22,1,38,1677,defense response,BP
GO:0044446,7.958549905153622e-22,1,86,9727,intracellular organelle part,CC
GO:0005829,1.0315301641842087e-21,1,62,5081,cytosol,CC
GO:0044422,1.4292304184467029e-21,1,87,10028,organelle part,CC
GO:0005488,2.3463304026480555e-21,1,108,15078,binding,MF
GO:0016020,1.0452029872594371e-20,1,82,9170,membrane,CC
GO:0005515,1.6821338069957003e-20,1,93,11717,protein binding,MF
GO:0008152,7.661654349399828e-20,1,94,12321,metabolic process,BP
GO:0023052,1.0847784876627877e-19,1,67,6485,signaling,BP
GO:0007154,6.1546586804630785e-19,1,66,6512,cell communication,BP
GO:0016032,1.4887125837212257e-18,1,26,829,viral process,BP
GO:0044237,2.0339533725305583e-18,1,87,11196,cellular metabolic process,BP
GO:0006955,2.1823503568356146e-18,1,37,2009,immune response,BP
GO:0051716,2.21614084681448e-18,1,70,7470,cellular response to stimulus,BP
GO:0009605,2.9493792931455605e-18,1,40,2416,response to external stimulus,BP
GO:0044238,3.905408742742608e-18,1,86,11076,primary metabolic process,BP
GO:0051179,5.394210236781146e-18,1,65,6615,localization,BP
GO:0044403,6.2469772204141615e-18,1,26,880,symbiont process,BP
GO:0006950,7.443341024703176e-18,1,50,3981,response to stress,BP
