category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology
GO:0006952,0,1,31,1656,defense response,BP
GO:0006955,0,1,32,1990,immune response,BP
GO:0009605,0,1,34,2405,response to external stimulus,BP
GO:0009607,0,1,31,975,response to biotic stimulus,BP
GO:0009615,0,1,27,326,response to virus,BP
GO:0016032,0,1,17,829,viral process,BP
GO:0019058,0,1,13,328,viral life cycle,BP
GO:0019079,0,1,12,122,viral genome replication,BP
GO:0034340,0,1,15,92,response to type I interferon,BP
GO:0034341,0,1,10,181,response to interferon-gamma,BP
GO:0043207,0,1,31,943,response to external biotic stimulus,BP
GO:0043901,0,1,12,171,negative regulation of multi-organism process,BP
GO:0043903,0,1,13,222,"regulation of symbiosis, encompassing mutualism through parasitism",BP
GO:0044403,0,1,17,880,symbiont process,BP
GO:0044419,0,1,17,928,interspecies interaction between organisms,BP
GO:0045069,0,1,12,95,regulation of viral genome replication,BP
GO:0045071,0,1,12,59,negative regulation of viral genome replication,BP
GO:0045087,0,1,29,910,innate immune response,BP
GO:0048525,0,1,12,99,negative regulation of viral process,BP
GO:0050792,0,1,13,208,regulation of viral process,BP
GO:0050896,0,1,43,8945,response to stimulus,BP
GO:0051607,0,1,26,238,defense response to virus,BP
GO:0051707,0,1,31,941,response to other organism,BP
GO:0060337,0,1,15,88,type I interferon signaling pathway,BP
GO:0071357,0,1,15,88,cellular response to type I interferon,BP
GO:0098542,0,1,28,496,defense response to other organism,BP
GO:1903900,0,1,13,149,regulation of viral life cycle,BP
GO:1903901,0,1,12,85,negative regulation of viral life cycle,BP
GO:0051704,7.162400581246742e-22,1,34,2552,multi-organism process,BP
GO:0002252,9.057337405767821e-22,1,26,1150,immune effector process,BP
GO:0034097,3.620398413414648e-21,1,26,1182,response to cytokine,BP
GO:0043900,9.135841815684304e-20,1,18,405,regulation of multi-organism process,BP
GO:0002376,1.1258096985373019e-19,1,34,2893,immune system process,BP
GO:0019221,2.0492344125001454e-17,1,20,775,cytokine-mediated signaling pathway,BP
GO:0071345,7.450677262648644e-17,1,22,1093,cellular response to cytokine stimulus,BP
GO:0006950,1.626626833875095e-16,1,35,3946,response to stress,BP
GO:0035455,6.684134261459528e-13,1,6,21,response to interferon-alpha,BP
GO:0071310,2.04491186112693e-12,1,26,2671,cellular response to organic substance,BP
GO:0010033,3.463749805323816e-12,1,28,3250,response to organic substance,BP
GO:0070887,1.421374610251029e-10,1,26,3240,cellular response to chemical stimulus,BP
GO:0060333,1.709050255217465e-10,0.9999999999987581,7,73,interferon-gamma-mediated signaling pathway,BP
GO:0003725,1.9996538216283375e-10,0.9999999999982532,7,75,double-stranded RNA binding,MF
GO:0042221,8.229847902061626e-10,0.9999999999058307,30,4716,response to chemical,BP
GO:0071346,1.4600871236007328e-9,0.9999999999587462,8,162,cellular response to interferon-gamma,BP
GO:0035456,1.9042842910731984e-9,0.9999999999878325,5,28,response to interferon-beta,BP
GO:0002682,5.033296073862843e-9,0.9999999993948874,17,1519,regulation of immune system process,BP
GO:0007166,6.378363185491899e-9,0.9999999989933476,23,2906,cell surface receptor signaling pathway,BP
GO:0050688,1.1385822569196687e-8,0.9999999997927271,6,73,regulation of defense response to virus,BP
GO:0005829,1.515275106652493e-8,0.9999999970863055,29,4979,cytosol,CC
GO:0003723,3.496279072187574e-8,0.9999999950247475,17,1871,RNA binding,MF
GO:0032480,5.3852088855490915e-8,0.9999999992659689,5,46,negative regulation of type I interferon production,BP
GO:0050776,6.5178798360774e-8,0.9999999927691106,13,984,regulation of immune response,BP
GO:0031347,8.355862093036886e-8,0.9999999914573975,12,828,regulation of defense response,BP
GO:0032020,1.0934868378298362e-7,0.9999999998604896,3,6,ISG15-protein conjugation,BP
GO:0003950,1.2314425484030232e-7,0.9999999991365848,4,22,NAD+ ADP-ribosyltransferase activity,MF
GO:0005737,1.610730550371457e-7,0.9999999661257988,43,11401,cytoplasm,CC
GO:0051716,2.2143598930698407e-7,0.9999999483062258,34,7413,cellular response to stimulus,BP
GO:0048519,2.4783035603260403e-7,0.9999999433622322,29,5747,negative regulation of biological process,BP
GO:0005488,2.6625839284815007e-7,0.9999999552929618,49,14904,binding,MF
GO:0032479,2.8737980782777397e-7,0.9999999906164861,6,126,regulation of type I interferon production,BP
GO:0032606,3.109381385941892e-7,0.9999999897032816,6,128,type I interferon production,BP
GO:0045088,3.223856601139816e-7,0.9999999752593562,9,447,regulation of innate immune response,BP
GO:0007165,3.4163306778497876e-7,0.9999999197745122,30,5964,signal transduction,BP
GO:0002831,4.5422951013601214e-7,0.9999999839013332,6,139,regulation of response to biotic stimulus,BP
GO:0060700,5.30220894061426e-7,0.999999998578202,3,9,regulation of ribonuclease activity,BP
GO:0003724,5.417780382253712e-7,0.9999999878125284,5,77,RNA helicase activity,MF
