# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001//HW_Wk6/sacCer3.sgd.gtf" "-o" "featCounts_Gierlinski_genes.txt" "-t" "exon" "-g" "gene_id" "-f" "--minOverlap" "3" "--primary" "--tmpDir" "/scratchLocal" "/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam" "/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/frd2007/ANGSD_2019/alignment/SNF2_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/SNF2_5_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_1_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_2_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_3_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_4_Aligned.sortedByCoord.out.bam	/home/frd2007/ANGSD_2019/alignment/WT_5_Aligned.sortedByCoord.out.bam
YAL012W	chrI	130799	131983	+	1185	7339	7171	7641	8105	5939	4309	3761	3037	5592	4156
YAL069W	chrI	335	649	+	315	0	0	0	0	0	0	0	0	0	0
YAL068W-A	chrI	538	792	+	255	0	0	0	0	0	0	0	0	0	0
YAL068C	chrI	1807	2169	-	363	2	2	2	1	0	0	0	0	2	2
YAL067W-A	chrI	2480	2707	+	228	0	0	0	0	0	0	0	0	0	0
YAL067C	chrI	7235	9016	-	1782	103	51	44	90	53	12	23	21	30	29
YAL066W	chrI	10091	10399	+	309	2	0	0	0	0	0	0	0	0	0
YAL065C	chrI	11565	11951	-	387	5	9	6	3	1	10	5	2	4	3
YAL064W-B	chrI	12046	12426	+	381	13	8	10	9	6	9	12	4	4	8
YAL064C-A	chrI	13363	13743	-	381	46	58	44	61	40	33	41	31	45	25
YAL064W	chrI	21566	21850	+	285	17	23	8	19	12	1	4	4	9	3
YAL063C-A	chrI	22395	22685	-	291	19	6	8	14	6	1	7	6	9	7
YAL063C	chrI	24000	27968	-	3969	249	231	197	242	156	114	137	91	158	132
YAL062W	chrI	31567	32940	+	1374	790	724	628	761	517	396	404	377	543	348
YAL061W	chrI	33448	34701	+	1254	787	773	568	713	557	2138	1741	1499	3051	1559
YAL060W	chrI	35155	36303	+	1149	2040	1700	1635	2081	1334	1416	1225	1359	2381	1152
YAL059C-A	chrI	36496	36918	-	423	0	0	0	0	0	0	0	0	0	0
YAL059W	chrI	36509	37147	+	639	90	70	100	116	62	41	168	102	119	186
YAL058W	chrI	37464	38972	+	1509	295	321	321	358	218	225	230	193	312	242
YAL056C-A	chrI	38696	39046	-	351	6	3	5	8	3	2	4	5	2	8
YAL056W	chrI	39259	41901	+	2643	1920	1547	1573	2144	1277	707	1142	831	1190	1086
YAL055W	chrI	42177	42719	+	543	673	527	471	610	429	285	283	260	415	304
YAL054C	chrI	42881	45022	-	2142	788	504	390	727	390	199	261	248	347	251
YAL053W	chrI	45899	48250	+	2352	6883	5070	5079	6835	3818	2510	2596	2407	4607	2328
YAL051W	chrI	48564	51707	+	3144	750	582	602	769	429	256	502	364	565	463
