# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001/Pj//hg38.refGene.gtf" "-o" "/athena/angsd/scratch/jiq4001/Pj1/reads_count/featCounts_transcript_all.txt" "--minOverlap" "25" "-t" "transcript" "-g" "gene_id" "--primary" "--tmpDir" "/scratchLocal" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam
DDX11L1	chr1	11874	14409	+	2536	11	3	0	4	4	0
WASH7P	chr1	14362	29370	-	15009	372	340	273	280	360	211
MIR6859-1	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0
MIR6859-2	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0
MIR6859-3	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0
MIR6859-4	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0
MIR1302-2	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0
MIR1302-9	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0
MIR1302-10	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0
MIR1302-11	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0
FAM138A	chr1;chr19;chr9	34611;76220;34394	36081;77690;35864	-;-;-	4413	0	0	0	0	0	0
FAM138F	chr1;chr19;chr9	34611;76220;34394	36081;77690;35864	-;-;-	4413	0	0	0	0	0	0
FAM138C	chr1;chr19;chr9	34611;76220;34394	36081;77690;35864	-;-;-	4413	0	0	0	0	0	0
